timestamp,src_ip,dst_port,hostname,protocol,request_method,trapped,user_agent,user_agent_browser,user_agent_browser_version,user_agent_os,user_agent_os_version,header_accept,header_accept-encoding,header_connection,header_user-agent,header_accept-charset
2025-01-09 20:52:39+00:00,34.38.239.34,443,35.181.167.143,https,GET,False,python-requests/2.32.3,Python Requests,2.32,Other,,*/*,"gzip, deflate",keep-alive,python-requests/2.32.3,
2025-01-09 21:28:18+00:00,5.181.190.248,443,35.181.167.143,https,GET,False,,Other,,Other,,,,,,
2025-01-09 21:34:07+00:00,185.242.226.117,443,35.181.167.143,https,GET,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",Chrome,88.0,Windows,10.,*/*,gzip,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",
2025-01-09 21:47:00+00:00,54.184.244.82,443,35.181.167.143,https,GET,False,Opera/9.80 (Windows NT 6.1; U; es-ES) Presto/2.9.181 Version/12.00,Opera,12.00,Windows,7.,,gzip,close,Opera/9.80 (Windows NT 6.1; U; es-ES) Presto/2.9.181 Version/12.00,utf-8
