timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 20:18:43.741761,52.234.238.238,34206,192.168.128.2,1433,mssqld,tcp,accept
2025-01-09 20:22:01.483915,198.235.24.130,50169,192.168.128.2,135,epmapper,tcp,accept
2025-01-09 20:27:43.589566,179.43.191.146,39852,192.168.128.2,81,httpd,tcp,accept
2025-01-09 20:41:10.831827,65.188.139.20,60267,192.168.128.2,445,smbd,tcp,accept
2025-01-09 20:43:43.188294,65.188.139.20,60744,192.168.128.2,445,smbd,tcp,accept
2025-01-09 20:43:43.416771,65.188.139.20,60761,192.168.128.2,445,smbd,tcp,accept
2025-01-09 20:45:48.478568,65.188.139.20,58211,192.168.128.2,445,smbd,tcp,accept
2025-01-09 20:45:49.585828,65.188.139.20,60791,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:30:40.212833,138.219.201.243,19606,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:30.340724,138.219.201.243,22465,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:31.930185,138.219.201.243,59252,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:32.529151,138.219.201.243,22519,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:33.120843,138.219.201.243,22550,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:33.695519,138.219.201.243,22559,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:34.284544,138.219.201.243,59284,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:34.897203,138.219.201.243,22592,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:35.500978,138.219.201.243,59292,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:36.097392,138.219.201.243,22619,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:36.681287,138.219.201.243,22639,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:37.270688,138.219.201.243,59314,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:37.880116,138.219.201.243,22677,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:38.472775,138.219.201.243,22684,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:39.060547,138.219.201.243,22705,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:39.657017,138.219.201.243,22724,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:40.265313,138.219.201.243,59344,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:40.861946,138.219.201.243,22763,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:41.453877,138.219.201.243,59352,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:32:42.036974,138.219.201.243,22795,192.168.128.2,445,smbd,tcp,accept
